"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",NA,NA,NA,NA,NA,0.297203112831872,NA,NA,NA,NA,NA,0.213457576523294,NA,0.161358475092433,NA,0.157110417553378,0.39579438456419,0.931669264721829,NA,0.721148246043658,0.246660341853369,0.333896931428818,NA,NA,NA,NA,NA,NA,NA,0.0460809464710232,0.10270391119801,NA,NA,0.000741460439473789,NA,0.277813931604569,0.188972845954255,NA,0.493206115112492,NA,0.530451298898826,0.342990017422578,0.499684696408298,NA,0.984918728262153,0.817560077790753,0.501298516224893,NA,2.15830761807043,1.18410219802742,NA,1.05717230792684,1.04533264274714,NA,NA,NA,NA,0.182387877597804,NA,1.43624060655265,NA,0.562909370309281,NA
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13037724501184,NA,NA,NA,NA,NA,0.0720472583401825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",NA,NA,0.0262868822800825,0.973694782089018,NA,0.893101495033336,NA,NA,1.01187163404639,0.620479332832569,NA,0.0758717093027883,NA,0.11834297830351,NA,2.50752731868243,0.219062182785836,0.547466100627677,NA,0.414099382113951,NA,NA,NA,NA,0.542499855572718,NA,1.8613214907704,NA,NA,NA,NA,NA,NA,NA,0.794222023539433,NA,NA,NA,0.286281333244674,NA,NA,NA,0.000628788130425845,0.679614207487565,0.0591770262999226,NA,NA,NA,NA,0.628016101617402,NA,NA,NA,2.98088800877575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFD.PHA.PHB",NA,1.62156414907077,2.04004293429311,1.18610213808961,1.03582152487398,0.0711329565427199,1.16892958217089,0.755846086323014,NA,1.23466705099405,2.24649213481178,0.60291713186405,NA,0.84909062856785,NA,0.211912834222398,0.329209794521428,0.321402413752951,NA,0.193527886545134,NA,NA,NA,NA,0.895644054387256,NA,0.550341912631878,NA,NA,0.539299246902232,NA,NA,NA,NA,1.08498477660803,NA,NA,NA,NA,NA,NA,NA,0.505262270712303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15563319778436,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.26687189252701,NA,NA,NA,NA,NA,0.406554095509607,NA,NA,NA,NA,0.43596878815457,0.936447603557252,0.902934532400958,0.727631010637127,0.320912041365149,0.484453912138813,NA,NA,0.448400605230256,NA,NA,NA,NA,0.51069656489726,0.824326171395963,NA,0.164666314806861,1.63750799428277,NA,1.08874080603304,0.657283339882416,NA,0.311556152239956,NA,NA,1.47189487217249,0.985169978871936,NA,0.12447039287928,1.19839108296075,0.964307042857293,NA,1.42488661735214,0.515691234142137,NA,0.672281531146894,1.64012152130719,NA,NA,NA,NA,0.851985485738939,NA,1.42693330172228,0.613647998564992,1.0727027435396,NA
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539694692280066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0452680038444757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407488206196689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
