"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",NA,NA,NA,NA,NA,0.253273556975767,NA,NA,NA,NA,NA,0.261665575451862,NA,0.291091543564981,NA,NA,0.350382540960062,0.989994690198117,NA,0.612373295016078,0.265055807702497,0.364818561009698,NA,NA,0.000154009156880542,NA,NA,NA,NA,0.0320801756422225,0.0712813701667883,NA,NA,NA,NA,0.260435984572901,0.18404509432588,NA,0.503821786195985,NA,0.457756060654187,0.290384907631574,0.420603358180706,NA,1.07593669903834,0.819853417994023,0.541212118370704,0.950940916528403,2.13493648534356,1.25629707216681,NA,1.0901898625909,1.04194831622374,NA,NA,1.21515580568543,NA,0.154358416113547,NA,1.51461770618737,NA,0.55674967157766,NA
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128572633615117,NA,NA,NA,NA,NA,0.0749868763665186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",NA,NA,NA,0.974193297860931,NA,0.947667248264545,NA,NA,0.892447207930503,0.535722717594365,NA,NA,NA,NA,NA,2.78463876602656,0.253321741889183,0.537737505077942,NA,0.443607911028969,NA,NA,NA,NA,0.486730366267001,NA,1.89818245078696,NA,NA,NA,NA,NA,NA,NA,0.794251916124493,NA,NA,NA,0.287418433034859,NA,0.000646115519645268,NA,NA,0.643131255228535,0.00348144121981389,NA,NA,NA,NA,0.651464212243222,NA,NA,NA,3.25504782660204,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFD.PHA.PHB",NA,1.66277238538566,2.10641828346817,1.16254281686402,0.961583909038184,NA,1.12622497341723,0.681430400546354,NA,1.27848804346743,2.39502069125359,0.790424404644501,NA,0.998376115373156,NA,0.189784687018257,0.333097001575721,0.327423598181045,NA,0.0196021747080362,NA,NA,NA,NA,0.970304132448892,NA,0.542418237207717,NA,NA,0.684671649684705,NA,NA,NA,NA,1.08816932597242,NA,NA,NA,NA,NA,NA,NA,0.643236745429598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3155203163859,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.230448770042003,NA,NA,NA,NA,NA,0.505790245268266,NA,NA,NA,NA,0.485901282372715,0.950048812606213,0.959150287647924,0.550165575453403,0.335286329428081,0.531037553558807,NA,NA,0.517764277096459,NA,NA,NA,NA,0.600956794752799,0.998082374287321,NA,0.0568579828473737,1.72291192381691,NA,1.13481434977375,0.738596151384575,NA,0.236522491800034,NA,NA,1.60716355502637,1.20178780460439,NA,0.0327445401123805,1.3489181443015,1.04281131539125,2.1860878637988,1.47552500720468,0.568680745821561,NA,0.67630253571752,1.63756654102711,NA,NA,1.58656510654976,NA,0.890349553708369,NA,1.52488862751532,0.652818368128435,1.2387587539414,NA
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487706489917478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0575011790833906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459746265012433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALM.PLM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56020523432564,0.013244824659533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASE",2.90240773610083,1.44440507562183,1.33161997461403,1.70135291587851,2.83586730046534,NA,NA,2.17128053339862,2.24675086182392,1.36908969991769,1.2097032510227,NA,NA,1.08827098219234,NA,0.884389094348345,1.02294551227118,0.069316419196026,NA,NA,0.0838221794420439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556813402372822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118827305051636,NA,NA,0.313231059846817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASI",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108439075840537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0439673749505053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASJ.AWB",NA,NA,0.148846355124695,0.760977579678983,0.1878300049177,0.91032420734131,NA,0.410333984351663,0.714374276834083,0.0314296565157529,NA,NA,NA,NA,NA,0.516614144907101,0.192075677696665,0.609716218617346,NA,0.36477182579837,NA,NA,NA,NA,0.8964820907462,NA,NA,NA,NA,NA,NA,NA,0.663884427128812,NA,NA,NA,NA,NA,0.144080454512334,NA,NA,NA,0.204976847114515,NA,NA,NA,NA,NA,NA,0.114628315395133,0.477107409927167,NA,NA,0.135747746317723,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AVA.AVD.AVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160875545179715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AVB.DA.DB.DVA.SAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125719884066275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754315759054109,NA,1.70403215515687,NA,1.38298552841201,0.0413253192795057,NA,NA,0.48687614049252,0.0236244340522389,0.44918490111968,NA,NA,NA,NA,0.188307856471123,NA,NA,NA,NA,NA,0.479579404778151,NA,NA,NA,NA,NA
"AVH.AVJ.RIC.RID.RIP.RMG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0421796518583978,NA,0.194604864542814,NA,NA,NA,NA,0.18846163981538,NA,NA,NA,NA,NA,0.0824148041684322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22785390095366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194413344511481,NA
"AVK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AVL.DD.RIS.RME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AWA",NA,NA,NA,0.227461306969144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251359593657646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859412701203455,NA,NA,NA,NA,NA,NA,NA,1.19265392399282,NA,NA,NA,NA,NA,NA,NA,NA,0.976570677632006,NA,NA,NA,NA,NA,NA,0.63536748745687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DVC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17025814670587,NA,NA,0.0401478736800735,NA,NA,NA,NA,0.506529460895811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706428381327653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992184266010632,NA
"FLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351319347433557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372406946486036,NA,NA,NA,NA,NA,0.811188531938127,NA,NA,NA,NA,0.312258782367791,0.656310325566584,NA,0.277573163929767,NA,0.584679292645477,NA,0.803648998568563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549947127336531,NA,NA,NA,NA,NA
"HSN.RIH.URA.URB.URX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I1.I3.M1.M2.M4.M5.MC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14851873630819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4781617529446
"I2.I5.M3.MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0480008896091819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131040072248
"I4.I6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL2",NA,NA,NA,NA,NA,NA,0.499602051691701,NA,0.223654721157954,NA,NA,0.740257316296062,NA,NA,NA,NA,NA,0.051238840410439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845785560145334,NA,NA,0.775557183972144,NA,NA,NA,NA,NA,0.363042834137318,NA,0.240381781641427,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129249574959295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0356088341988315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PVC",NA,NA,NA,NA,0.543672643042777,NA,NA,NA,NA,NA,NA,0.0385103759423615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915567795741407,NA,NA,NA,NA,0.652718038203395,NA,0.964885883229646,0.0700494949690059,NA,NA,0.172400441313788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279942028064295,NA,NA,NA,NA,NA
"PVR",NA,NA,NA,NA,NA,NA,0.0953350644239457,NA,NA,NA,NA,0.0304936002355139,NA,NA,NA,NA,NA,NA,1.36835872493668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0582093292335658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0504642694783933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PVT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RIB",NA,NA,NA,NA,NA,0.0320253105450511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0758617937189529,NA,0.215978701851887,0.0663887027998385,NA,NA,NA,0.563736959622958,0.00913252787287138,0.123672392781138,NA,0.702810663998926,0.432776894786027,0.348064897636034,NA,0.875288379163594,NA,NA,0.776034440052612,NA,NA,NA,NA,NA,0.520276842019002,NA,0.444902426460336,0.330463534144415,0.240726862799969,NA
"RIV.RMD.SAA.SMD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33248671018223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979935784692624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
