"","mir-1821","lsy-6","mir-791","mir-790","mir-254","mir-124","mir-792","mir-794","mir-249","mir-793","mir-83","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"Dopaminergic",0.462083757672265,-0.0219261675215468,0.490242627995276,0.860911107472742,-0.159274846188798,0.498161257980229,-0.687951931287566,-0.716891058978228,0.474075245067033,0.0641311718907159,1.85684950990857,2.08958733815774,1.26482205779557,-0.0301421427237612,3.13010752480287,0.268806783899175,-0.464804434391643,0.528453064218211,1.8694311846249,1.16042711654098,0.533708389659086,-1.25865708999769,0.73131280706708,0.686650187552192,-0.505611530480207,1.29933767348991,-0.296252403142869,4.69681182760669,1.34893007633577,1.99973221581697,0.406343166842176,2.12993368096718,-1.96248635103182,0.346156195626259,-0.0338929656713383,0.350161436277056,0.329519977745571,2.73977841152284,-0.340645004225192,-1.45933725219331,0.130108041950184,-0.405405280131771,0.4163797355328,0.922742012863537,0.769195979968701,1.71415358484165,1.64061988870156,-0.257972045236663,1.02798146548082,-1.48236226380177,0.299171800719722,2.45877760970342,-0.403608676052123,-0.538328034829778,1.89330357074066,0.420532951364364,2.00478471353585,2.43092514686923,-0.0985704446696851,1.28497549696113,1.50391391586552,-0.26485905140084,-0.357735497388474
"Serotonergic",1.98699261602637,-1.97322222691647,-0.253743710306032,-0.576308837755875,-0.752666131150169,-1.25552808764729,-1.77801162513551,-2.64030184636123,-0.434554777342489,-0.423512874268577,-0.983748683549622,-0.434870493439624,1.35362835484193,-0.984227744298103,-0.835528051177112,-0.728017424117637,-1.78517637945111,-1.00748199007656,-1.67751923601828,-0.327029036319207,-0.190553459969285,-2.46640648863668,-0.838960622770251,-0.371867872186614,-1.56271210522359,-0.0866905896591764,-0.388907645262498,-0.0577729531545164,-0.834323373711957,-1.43409748869752,-1.12140500288109,-0.312569515225313,-1.28275104379788,-0.546105603188548,-1.86280836093912,-1.37129729085357,-1.29477950847194,-0.736578641240489,-1.94921247032879,-1.96467400300608,-0.226295168413194,-1.29601333426225,-1.53886227618274,-0.96272067114209,-1.05782535073453,-1.53579161801261,-2.5914832854118,-1.62960081016309,-1.71649845664586,-4.02955153973926,-1.42303589539819,-1.27057600730519,-1.5564507976832,-3.54286586261858,-1.47465299413077,-1.86500998581144,-1.85123014606633,-0.638289220764157,-1.68046113948829,-1.69362659345175,-1.02869421874216,-2.28975644142492,1.74329992876618
"Glutamatergic",8.01216011787654,4.84246005685116,5.94104584081702,5.7197884463432,6.9722644018894,4.2963814494023,4.60226147002628,4.82397218412282,5.22756864836161,4.44360264109732,4.96884581699798,4.91254369880992,0.963966222259792,3.13142291034461,6.09917134921212,4.03457961506977,2.07950015673633,4.20381963685964,6.03947437608873,3.80899685355618,0.837068532288681,1.60308851429285,2.32400895745865,0.517406641342275,2.10623985917521,2.58151749551953,2.62458454602469,5.96430319909954,3.64009826887308,4.07551516103406,2.04821661885578,4.5793206185627,-0.0150843891771538,1.98934487352121,2.73874055437157,1.5791992639682,1.65549493604042,5.24236754031387,2.35699686384931,2.37634622417302,2.45799698238306,0.406631742332546,3.04391663249623,2.27414816668206,2.90200039475056,3.2842089081796,3.30037627709329,2.16902990770777,4.00783086531096,4.37048594972963,0.111457031765238,4.71676673534733,4.45137260907411,4.79703112674672,4.41421074017226,3.35098750467793,5.539220378806,3.69960795608209,2.83630229199567,3.97332418006014,3.42674270547256,3.00385694698916,5.48818193384602
"Cholinergic",5.98712344227066,-0.70128151556894,2.66658478559218,3.89053773851983,4.94195445839559,4.16864169841614,1.70431006527331,1.97096866202378,0.647985491818673,1.47820146892139,5.06041908049683,5.28433293421667,1.2942100372509,0.365652954776133,6.05516180600323,0.850371008321405,0.99028731523162,4.06051941522819,5.46150049727454,3.8382763514766,1.35481919033103,2.12934273490801,2.75282373040168,1.04528366437672,1.89465243771029,3.4705142554172,0.0811953532499775,6.30579017944331,4.38127251756735,4.64440524599256,2.35348641672124,5.584455897685,3.87138057435558,4.29688715816619,0.472792560867699,2.00922827126969,2.72055574148815,5.25456540739539,4.55567476968238,3.17508055038132,4.1564869044693,2.03541302459799,2.90520059424935,0.619492212523556,3.32029853394775,4.47501279925337,4.79258742449233,3.64118063925194,4.23840003570091,3.38576198770626,1.31369906637436,5.3564099578617,5.74451182337399,1.82014164655186,5.24630629959632,3.80676289979448,5.71806986525468,5.42951793790635,3.9338547897233,4.44911331964616,5.36786489960828,1.80113118605428,6.07919320584407
"GABAergic",0.103606202363308,0.0547472181143094,-0.0646391541038633,0.121924690147218,0.522553649857972,1.87781191303923,0.355771983514278,-0.284637296611877,-0.394173730592585,-0.662787070376735,2.66608371587747,2.85832779730378,0.412623988209272,-0.408976220058979,2.4174492402767,-0.0768336957426666,0.090132608618255,1.01792143400405,2.83880497643646,1.26697949987514,0.51927369583709,-3.7313129424811,0.678308011821995,0.185008482910096,0.247328109675262,1.1026331113184,-0.659348406954631,4.78861138872502,1.77423742250896,2.04071949130167,0.613718860569797,2.51021241728869,-0.446923911742548,1.1609302507587,0.297804173532247,0.704386083170057,0.72383901175232,3.95214753035902,0.725856132602974,-0.453497095721362,1.38620464768088,0.330795200320515,1.09343009724832,0.410773384901939,1.94557676081912,2.00612784794725,2.14466444604937,0.339576701210815,2.08625611798468,0.630482439384347,-0.10146929641045,3.07665480770898,1.41334344703197,0.860294661269435,2.47200790454561,1.01795473589466,3.1811333492169,2.95448730912589,1.51802461349503,1.84560053154532,2.92820286900453,0.647632116792762,0.317052431964627
"Ciliatedsensory",8.91742308515632,5.27933251717936,6.09563178381933,6.27877946708777,7.30952598769376,4.51974160594073,6.12027031314135,5.76264342867468,4.52683939793922,5.23909916321083,4.47747397709429,4.62547388025822,1.66278358338679,2.84802809094416,6.47789470408757,4.77847013268312,1.90138399471935,3.07460796781858,2.4233245691897,2.85689517256896,0.792130281027566,0.549878828209389,-0.846698556053654,0.0589669554833451,3.07536319240963,0.527635548972332,3.67419064752991,1.65835003276065,1.06483130548423,4.167901731336,1.59758057060826,1.98827528647508,2.19088752057928,0.55421397711923,4.3924237674024,0.723858146112045,1.22810115502287,0.351503756871929,2.12970247389556,0.678396928800461,1.63031535711938,0.196749926081727,2.54255643003281,5.1474576826307,1.25161782903149,0.19881990232173,1.11694351928468,-0.0218494209055073,0.945491523746585,2.17536787959739,2.57985145479351,0.414221215074051,1.26465956914128,6.39639363295493,0.168175219978551,-0.0234580186194739,0.348780761978378,2.87065304371813,0.275426114147649,0.284702626453922,1.30530031869963,1.54795842189008,0.792976022699525
"Mechanosensory",-0.410462663400483,0.147010400855572,-1.3895618167747,-0.511097503384422,0.120529563047226,1.40653507964194,-0.042421613897202,0.0129369410669807,-1.31575140943265,-2.03382513695261,-0.0792513360926806,2.59514085746835,0.466726041306474,0.608202057052061,3.75258223101794,-0.424033405106954,-0.238587662801924,0.388744540647869,0.510138099979488,0.92114048038487,-0.156073607643972,-3.44477291431847,-1.85773645955684,-0.984759284504418,0.527102667870913,-0.404084227949161,-1.29663219268982,1.98006556218002,0.481485324153265,0.870518236641604,1.6703510009562,0.623707697852317,-0.686269862599056,0.460093927911691,0.0125317687594507,1.32827071860347,1.46348384123786,0.1518045049283,0.89653548968905,-0.910292590752361,0.988194320527176,-0.411091761787306,1.63566958633598,-1.03672775011008,-0.41343238234592,-0.111065631107648,0.605285057910965,-0.246743762471443,0.289394794223655,-0.0267592419630527,0.167291778723606,0.330264325176459,-0.698174359832674,0.222863799376494,0.0934129544346117,-0.0675978570873316,0.842823633414547,2.87757649186025,0.00827784955987741,0.169757010417233,0.790148381495389,-0.25283633607487,0.898239025378701
"unc.86",1.34750053713763,-0.153625114493222,-0.921635565214395,-0.411796485748124,2.05854390993215,3.19428648853342,-0.155337933279462,0.713193350341454,-0.654449643133039,-2.51593911459159,0.66105467267653,3.55981660055718,0.0300499717725951,0.38201310123689,4.3654343765717,-0.943114467768316,-0.674721631509822,1.17189603689645,3.7339953059173,1.1971030263041,0.178336829633128,-1.36552085704437,-1.88527498445391,-0.564731252851607,0.324057360023204,0.332640278272139,-1.52393517384341,0.894678142588308,0.0832691428167246,2.94263404417649,1.15167733995701,2.0409870556688,1.01785794303595,0.231103691483152,-0.25524419064178,0.837204854754476,0.576647158105261,-1.27792790655494,1.35507318156437,-0.7969224731978,1.85252730557525,-0.22921501069308,1.14390526313329,0.63304898191328,-0.139093132485255,-0.69910010819487,-0.00635212657752902,-0.126685792572505,-0.0480180282255896,-0.545312467789042,0.441367741606284,-0.429630814828576,-0.648274204047279,0.118136994020562,-0.494482041539625,-0.651527484881913,-0.426556302296619,2.41047430298729,-0.577278120969436,-0.627442742217357,0.504771095511057,0.00748763243573157,0.866206568084593
"Pharyngeal",-0.280588849980611,-1.05210933700957,0.393554654310576,-0.122842986439872,-0.158933826897522,-0.685377184936708,-0.614775035040014,-0.0307531762759335,-0.442964309990047,-0.438794202216741,0.389244355636121,0.249666937125664,0.537136120935825,-1.17545004303981,0.373799315437304,-1.51969556101814,-1.47440388679342,-0.323057033871397,1.02236296624681,-0.169573820023609,-0.0359629770402599,-0.647977000947666,-0.761503272628296,-0.222613523629215,-1.70964047400394,0.165874583866419,-1.29748213801599,2.86343643180769,0.0302079169326272,0.0481090068232815,-0.813437302331798,0.682853125453495,-1.22353167191539,-0.508843340595415,-1.41485824619122,-1.23223623700598,-0.967993815073124,0.355205292367813,-1.30754713992483,-0.0309826052311519,-0.723629167490633,-1.09537843611174,-1.10559723801017,-2.81757538471514,-0.726595433291438,0.107460632267549,-0.511562628094061,-1.29270410476892,-0.744292592078912,-0.315545135125193,-0.462805995992925,0.459223784614888,-1.45618829586472,-0.228202321818191,0.299331986464641,-0.818324984450453,0.590220389072759,-0.399352597095619,-1.00841900550321,-0.441417142319226,-0.0277542914682512,-1.34862288268039,3.73207944195426
"ceh.14",5.22324983395251,-0.452645911217318,4.23048175398724,2.62925781335282,-0.253236049162343,4.02818014309735,1.40517532418347,2.26619275421541,3.24223071597782,2.67594143241274,1.74371080512085,3.45012692799992,1.13048719430447,0.965971069313643,4.09033546856927,0.0437947436135072,-0.0492800734184494,1.1382212074584,4.32202249776938,1.38558706804133,-0.431216391646783,0.11752278129121,-0.231336348772173,-0.275736660183302,0.821360823565294,0.420965174898331,0.206859745196253,3.69256141819166,0.627131812761161,2.5357592149841,0.315957636592518,2.08790169411103,-0.134326596248639,2.24667320463962,1.01624384613211,-0.346744731126512,-0.0925815802998517,1.63231271988666,1.07629962023095,-1.23900569493306,1.17058668255998,-0.174968745648768,1.07518356116264,0.340275213326732,0.689049661241284,0.770572666679679,0.909138982079582,-0.637044623453309,-0.136050461228326,-0.978869712992251,0.0697592052751855,1.22207831548544,-0.875506925850844,-0.778752744539787,0.478202670799858,-0.606502829714788,1.24849748508787,2.09332744026478,-0.345992675099969,-0.0629137366175695,1.0738788802043,2.06847796906158,-0.146969893321452
