whole.body	background	ASE	Serotonergic	Dopaminergic	Glutamatergic	Ciliated.sensory	GABAergic	mechanosensory	unc.86.expressing	pharyngeal	cholinergic	ceh.14.expressing	unc.42.expressing	unc.3.expressing	Pan
lin-4	306.311207839944	0.346208631730411	0.841349617383776	0.194007663772463	3.03105729803749	23.7340261418356	30.8587625203685	1.84953530542225	4.66635423696562	7.13616006939192	0.448603541586042	23.0209490560453	5.8972774415037	3.40435034582794	1.58056843376444	56.0322999885848
lsy-6	1779.29307900431	1.35036635824605	47.0708409529454	0.343916119126026	1.32999857514683	38.7415809928568	52.4431843971027	1.40259460683344	1.49522362407715	1.21396409587574	0.651231112355748	0.830509946747392	0.986714733593045	0.79782319554598	0.723460416439166	75.98924667896
mir-1	581931.559060066	448.612081010117	182.870303104056	139.959297937206	418.984835183213	3203.93009243224	542.978316670823	1284.8188736817	451.19351183397	300.671964115109	223.000889827213	6856.13333779691	352.95292989067	394.378504926887	180.186026671302	2096.24909097835
mir-1019	402.591460437624	1.34963628271491	0.706964261508945	0.616848168556033	0.104022538876287	0.821464768224625	1.02230465224353	0.893403479350249	0.360838822578969	0.458888645614034	0.0878962825695569	0.344652593605329	0.371908821098417	0.282885690331996	0.323223598274385	0.840701798378102
mir-1020	1401.06268040935	1.93995163260369	1.00644967768839	1.16428321629346	12.9582509262619	73.4346078536352	2.47516455121219	30.0265790855803	2.15520512729207	0.800011573718625	2.48152325671759	74.0581235533562	6.01403557972364	0.585737157622238	6.66301238600648	132.455781012214
mir-1022	3076.46335185726	3.04531679592174	4.80342928558552	1.83855825772065	3.66903101353415	49.9070571570156	83.5786440641794	2.88737525806263	2.26979013256938	1.58389626113667	1.06208317651732	5.49059814143476	3.13917848553499	1.05109094452107	1.85868946397123	130.261927901005
mir-124	176056.536009311	112.848938617915	481.372710667616	47.2656749503792	159.389225410297	2217.36489639154	2588.66156018099	414.73930043706	299.162206451247	1032.93626822203	70.1743482432911	2029.47483783755	1841.19814960424	434.86204000987	325.773480814586	11583.9840787499
mir-1818	1502.02137110025	39.8451102765169	106.106075050652	101.8257859529	95.7468316555903	77.7244720666207	126.160315972473	53.0380111786104	55.0647372575377	40.6837499133781	57.818805780636	97.71721369725	87.2339601076675	54.3208950122959	34.4072530735459	115.512672449329
mir-1820	8841.59483513644	115.818765573379	153.360367083037	109.413284818018	201.223176102723	127.278976148059	121.506036923896	128.346089301504	92.6633525413467	62.268766394953	129.240100791117	169.189572230392	116.504255053409	72.3722932616416	48.7992070717828	109.854334786549
mir-1821	1757.35148992928	1.65103333109665	162.189266356361	6.54485786635494	2.27434797510936	426.242123171697	798.302838638463	1.77396242057223	1.24220784347331	4.20139894210419	1.35922132809114	104.727222288559	61.6752211985486	2.49684113737994	23.4516423082338	859.825789992875
mir-1822	2715.94798166731	8.61933127857648	8.17220811835486	5.30403586162654	9.93592718241544	12.3175177007022	5.42430326020837	7.12357935905061	6.16489436317236	4.88220677601436	6.43202090399233	10.1044438426538	4.14069711951182	3.77700439730216	3.94515039873683	6.69734998211095
mir-1823	526.079264704255	4.59477122369315	2.23073732278288	3.16899269185917	3.15627568116096	2.32208231628603	2.09076145315402	2.12801944812693	2.24699021262847	1.83089815988391	3.956761844644	3.99108217945853	1.92340327850666	2.18201794192377	0.66166350662833	2.90987992102331
mir-1824	1074.70501790515	6.04478268049427	4.7541421326451	4.61644669398682	4.92265990324783	37.2785804616996	77.1653422238582	3.82733999582879	2.46068209166037	2.1019892621068	2.45923283923306	6.39474054910787	6.97672620924347	3.8945848791641	2.6000724085719	112.866190139257
mir-1829a	631.442716796012	0.511616565214985	0.25131387459237	0.118033064975124	0.233712151333317	0.122631101175785	0.805913805563847	1.30854416205654	0.386972242334812	0.345136685057004	0.0841296777297016	0.421855748570461	0.314894457457744	0.259071698563358	0.245131410192307	1.03467257124223
mir-1829b	4551.03621430695	2.15647662627409	1.3689797175056	1.05700475021868	6.11600673271114	23.1898050158231	5.32941211118581	16.4142729977085	3.72909218192877	3.05982082398454	2.11538724316823	89.0498316395009	4.53956783226548	1.24061334824155	6.10216880982604	81.0151953004357
mir-1829c	1487.4780997177	1.15969546875273	0.615322008168887	0.192410938580682	3.61592786661394	11.4250002078049	2.51522860225963	5.1280504501411	1.76422072100045	1.1546006020574	0.813482593478243	32.140788862817	2.1778204125073	0.521237218927226	3.09329442276893	43.2265664872344
mir-2	1072180.44011093	1206.51886693577	774.046177166525	466.372033994498	1537.95352990213	3605.12614233825	1992.67802811122	1965.96353015894	3029.5871233718	2155.5489586901	513.563380004969	4857.04464415137	948.753853090922	750.195684091972	721.588108939666	14997.4908558276
mir-2220	379.511098404683	0.707393616224257	0.597839504183004	0.446389209958521	0.772555347104191	1.03199435710214	0.901543330972778	0.167101186445014	0.992196064991146	0.549074568744715	0.356578913586898	2.75889585251492	0.238518213606618	0.350831114141134	0.570338588046129	9.66048346166995
mir-228	222561.168589645	216.980838635998	103.937507486856	77.3142341355289	171.932698902386	501.030285445573	261.268478230488	201.442032376041	177.369474370895	188.871323999459	91.3501491782255	1101.89854702819	191.406000471938	93.782544822385	135.091001847968	1028.4609959389
mir-229	195474.434849329	275.449367584297	217.689802465824	165.950691688512	339.867832701079	329.229301635532	282.645825794099	312.8152741391	175.054857620946	175.733836225125	164.396298456512	462.644033266318	157.346926867797	137.108813546301	154.528315268168	883.210957180747
mir-230	1642.49517889436	1.44453766976733	1.412939600257	0.466254375556448	0.929710798251585	2.1205232160621	2.23369141210239	2.05883870027876	1.64903641121724	1.28566866092257	0.441463839258062	5.64676115186562	1.03337349971219	0.836015077772337	0.720883248521341	9.4862346840749
mir-231	65989.5341701444	86.9295993465108	49.6666923731694	34.8582987830363	73.6366824817881	126.713014236424	119.959104376483	98.1420639620341	49.9575237465434	39.66793937836	29.4399877681459	182.420916441481	49.6654957941927	28.6990086021485	43.5301049353032	564.357666839562
mir-232	102649.821199615	55.9797501064396	77.7760778490176	15.3911036401385	54.6799559632832	373.657765749383	1175.66140995483	68.8143393041237	56.4681284230116	46.9023710213404	20.9950147326684	77.6883142766541	113.22721780097	31.1807421901305	45.813863151487	1466.72696523121
mir-233	59562.5207893504	49.57800368758	47.0087439924418	18.3477441142051	198.275208709432	835.87502018838	891.153414700023	203.989031050019	90.6444329446897	381.162484404068	51.2591369339128	1239.92188787292	287.49389113098	162.914302330809	59.5114817991002	3411.81034283283
mir-234	24678.8911661596	16.9571477489347	5.916360136626	3.46790692213718	14.1130956565989	136.020337452905	49.5832193433392	26.5649802604074	14.2311987208665	17.0453846547988	6.65850704677009	59.0945346882687	71.1257269651487	9.46831469552624	5.74733610821383	714.413638308976
mir-235	45380.3430117533	28.1915972555943	10.0471918015232	8.42126832119237	30.3128984266775	72.3997353728534	32.0175861013889	48.3571658176108	23.6779786386749	17.5398992195973	9.3418118941632	141.268615032692	19.0539951240551	13.4746989317863	12.3160511922262	187.144974036264
