"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",NA,NA,NA,NA,NA,0.298893238581629,NA,NA,NA,NA,NA,0.277180876729581,NA,0.273620472261243,NA,NA,0.394080731867743,0.949602943496455,NA,0.69649608101574,0.25272806221835,0.348393192741418,NA,NA,1.97105461754784e-05,NA,NA,NA,NA,0.017831148777997,0.0919676761076136,NA,NA,NA,NA,0.268117428494196,0.187103099392234,NA,0.503235490625166,NA,0.502953831326166,0.337438584077841,0.482051198191816,NA,1.03335506410946,0.839595272490407,0.519527639472798,NA,2.16213950686348,1.22087850529569,NA,1.04184208825579,1.03970188619005,NA,NA,NA,NA,0.170970217717051,NA,1.474512937931,NA,0.558781992495161,NA
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130307139888604,NA,NA,NA,NA,NA,0.0739155098092516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",NA,NA,NA,0.973815947969012,NA,0.943413427397401,NA,NA,0.961192866319617,0.582417552299464,NA,0.000408760207276537,NA,NA,NA,2.71791711954114,0.216240671033597,0.556147255465365,NA,0.429663321776244,NA,NA,NA,NA,0.507560170465513,NA,1.88227814993401,NA,NA,NA,NA,NA,NA,NA,0.78559268695767,NA,NA,NA,0.286396496617634,NA,NA,NA,NA,0.659836117334389,0.0451491366432717,NA,NA,NA,NA,0.63808467696337,NA,NA,NA,3.14656696964359,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFD.PHA.PHB",NA,1.62452340052019,2.07109796391316,1.17439832125278,0.99965522067801,0.0450110872057146,1.13166596613115,0.718730083758111,NA,1.25446463507763,2.31852813845624,0.715683852320546,NA,0.968602125098659,NA,0.217475500655714,0.329605078065705,0.323046803333554,NA,0.155688186376732,NA,NA,NA,NA,0.945326369476708,NA,0.546007830273934,NA,NA,0.621906855277869,NA,NA,NA,NA,1.09711042540751,NA,NA,NA,NA,NA,NA,NA,0.589396446835769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30409054090625,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.25160868001001,0.0471785675608414,NA,NA,NA,NA,0.446262907016685,NA,NA,NA,NA,0.43735134158591,0.953456243948332,0.975950306840535,0.70589377846767,0.331023439484412,0.506902752629818,NA,NA,0.498699879372902,NA,NA,NA,NA,0.608386393436873,0.989160176549699,NA,0.109087925841833,1.67931672473923,NA,1.10979714255846,0.71444365730718,NA,0.272504944433953,NA,NA,1.53510161382069,1.09673739300238,NA,0.0706513338039325,1.26345741032918,1.00384542071551,NA,1.4660121225835,0.539550703189177,NA,0.684620332639723,1.64076497338977,NA,NA,NA,NA,0.856450477284492,NA,1.4754109827469,0.657182365661616,1.22280027762502,NA
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515923845560776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0527147131312069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439102004779028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
