"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",0.0754176215213121,NA,NA,0.103754750301495,NA,0.326059043458657,NA,NA,0.476587721143488,NA,0.0121970527980388,0.130154510844371,NA,0.163774472850532,NA,0.621400312177506,0.353043954839931,0.570967218756317,0.257619612965083,0.41166763379802,0.174222173109332,0.232718042905775,NA,NA,0.0801221168439273,NA,0.299697944672166,NA,NA,0.0745710892391875,0.180515883785955,NA,NA,0.229383887382039,NA,0.359699220641973,0.187563602230981,NA,0.367489050125632,NA,0.361514374620158,0.251732600114245,0.342302672251914,NA,0.462024239420306,0.516998785911965,0.315077019222343,0.861809995350502,1.34969010949946,0.795292109171001,NA,NA,0.749021578720008,0.195907430127762,NA,0.701855673048425,NA,0.22753779742408,NA,0.831519278522839,NA,0.665036505998118,0.342005556966872
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0863440711895676,NA,NA,NA,NA,0.0116620432566549,NA,NA,NA,NA,NA,0.066801013623202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0207871669125205,NA,NA,NA,NA,NA,NA,0.0560626691588504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,0.148141041466407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0386425496845943,NA,NA,NA,NA,0.106958452558811,NA,NA,NA,NA,NA,0.17454808879142,NA,NA,NA,NA,NA,0.041437217858286,NA,NA,NA,NA,NA,NA,NA,NA,0.00190928972348663,NA,NA,NA,NA,NA,NA,NA,NA,0.0240167341989195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",0.767613060783398,0.446536328927294,0.52047392148086,0.986332728145765,0.575312404246857,0.506644452482772,0.137882274368556,0.578771612736357,1.15758996352043,0.758526634327462,0.73434792290043,0.241997101430845,NA,0.3808558127041,0.208483699707411,1.42044823607259,0.332121509137965,0.426430132634395,NA,0.306501083550673,0.0441700814126841,0.0628584696901337,NA,NA,0.439743779587305,NA,0.958284780586953,NA,NA,0.247923443468955,0.101649796726257,NA,NA,NA,0.754406079029883,0.00476998259021727,0.0899598414756607,NA,0.198005292403381,NA,0.0997374507637153,NA,0.302470941075324,0.443994692883819,0.149606557777731,NA,NA,0.0200193249045495,0.364396990840544,0.530155063041423,0.0485500429859924,NA,0.0703627842430447,1.13674730070187,NA,NA,NA,0.0583104628809282,NA,NA,NA,0.352318280071807,NA
"AFD.PHA.PHB",NA,1.14598971644609,1.31374126434928,0.996454357793364,1.03093238428912,0.289439629139455,0.519869780029567,0.853178983850059,NA,0.881179826987953,1.38802007699107,0.313628220635757,NA,0.560625620109493,0.224704417348408,0.480242603434635,0.203782184028277,0.271671818370046,0.267701551484624,0.159539923065605,NA,NA,NA,NA,0.552480850799874,NA,0.645116161042019,NA,NA,0.340613882792181,0.046187996046461,NA,NA,0.0453434579663836,0.837534606591605,NA,NA,NA,0.0479333948483075,NA,NA,NA,0.306269245579629,0.164071644638184,0.0167439282699412,NA,NA,NA,NA,NA,0.0243231300839933,NA,NA,0.24687329887868,NA,NA,NA,0.0151148409307254,NA,NA,NA,0.647921856605854,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.3834541569922,0.0491427682552356,0.202211939721677,0.0588461900900389,NA,NA,0.24848347597788,NA,NA,NA,NA,0.34942281553326,0.638941453653025,0.395587705792412,0.42990852682771,0.19613040719387,0.291053873828308,NA,NA,0.360969750311632,NA,NA,NA,NA,0.273666239146376,0.381991374657086,NA,0.414600507019128,0.849213241572453,NA,0.576351096397118,0.398851470690222,NA,0.525332564135437,NA,0.386234838696816,0.617715587223984,0.514246820950787,NA,0.329849256487199,0.651469625664373,0.52733441100587,1.05083092026498,0.982649272827984,0.50521587363862,NA,NA,0.994934365959379,NA,NA,0.740006447522756,NA,0.455686667267103,NA,0.812033129500161,NA,0.655753172040541,0.444657459706039
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00748577652102669,NA,NA,NA,NA,NA,NA,NA,NA,0.0134242717764384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0203006069519792,NA,0.125395792246074,NA,NA,0.591444622382482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0138019606765093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,0.0880819553299178,NA,NA,0.0634037117581816,NA,NA,NA,NA,NA,0.0845818302506247,0.229850718891841,0.00731259689149062,0.00595761003674469,NA,NA,NA,NA,NA,NA,NA,NA,0.0783854365215851,NA,NA,NA,NA,NA,NA,NA,NA,0.0987012422541578,NA,0.248536244345672,NA,NA,NA,NA,NA,NA,0.0454108883829445,0.0486536913050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0540741864872375,NA
