"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",NA,NA,NA,NA,NA,0.333654952852819,NA,NA,0.0347555640060846,NA,NA,0.136919683798007,NA,0.113565390363402,NA,0.475139514085882,0.349564398550348,0.756510164512739,0.139940416621008,0.603610412132689,0.215802729503076,0.309943660018489,NA,NA,NA,NA,0.202364767463979,NA,NA,0.0393295209718499,0.163583392880604,NA,NA,0.139915805471629,NA,0.316644536508493,0.194099282809376,NA,0.429286568156965,NA,0.421306078169471,0.295231064868334,0.317846189048822,NA,0.659852728394028,0.673031958455399,0.407384642824458,NA,1.82832328293479,1.06761385721342,NA,0.857845761390502,0.909649695299191,NA,NA,1.02010923970855,NA,0.230058934402681,NA,1.22323462463554,NA,0.650401975949755,NA
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122292860168728,NA,NA,NA,NA,NA,0.118913932272623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",0.312180980511003,0.147370900743554,0.456545236868203,1.01303762579254,0.0422375999641489,0.69539393778554,NA,0.297204372857926,1.23787907665349,0.767366469275697,0.430715690954165,0.229281665324302,NA,0.362551715108079,0.215051337982538,1.93427364327952,0.293385160692888,0.492877983458103,NA,0.40392544036871,0.0107745799000239,0.0132517508643509,NA,NA,0.543097094172235,NA,1.41722744113189,NA,NA,0.203767082658621,0.0265798605628803,NA,NA,NA,0.816994885007599,NA,0.025307045795913,NA,0.264593852548417,NA,0.151523215669031,NA,0.239285021457217,0.624734121772909,0.131302114091882,NA,NA,NA,0.242844807618806,0.63905330414942,NA,NA,NA,2.11807763398342,NA,NA,NA,NA,NA,NA,NA,0.2059246943976,NA
"AFD.PHA.PHB",NA,1.43997332535791,1.72249720296342,1.19333966456723,1.19768769860707,0.255386065940577,0.734494953117331,0.827364539636439,NA,1.12927556265879,1.73434053327048,0.383152798047437,NA,0.658349962931797,0.211006031288086,0.37371372875918,0.221659126295124,0.253931722728863,0.174999856716498,0.191318124212265,NA,NA,NA,NA,0.731566051076139,NA,0.612783756273458,NA,NA,0.411771795980375,0.0157788910664723,NA,NA,NA,1.011784696849,NA,NA,NA,NA,NA,NA,NA,0.357228826899377,0.0366265727219989,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0410760837199625,NA,NA,NA,NA,NA,NA,NA,0.798019256521525,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.357365956806899,NA,NA,NA,NA,NA,0.292759241487391,NA,NA,NA,NA,0.374585556800921,0.793387972476319,0.501377695829831,0.643564526024827,0.268143275074046,0.38179862628367,NA,NA,0.421274315769812,NA,NA,NA,NA,0.309394517643053,0.566973722087994,NA,0.335434514562617,1.24497510800075,NA,0.837409000774982,0.487559561773523,NA,0.456340567961398,NA,0.243129045867372,1.08294474551638,0.707985163203249,NA,0.314033252365233,0.874557349840752,0.733714857458273,NA,1.20806050251066,0.512232249412978,NA,0.637751277397728,1.29248327984196,NA,NA,1.11138898235181,NA,0.617106855384487,NA,1.16835296913,0.428739074697518,0.808420249866894,NA
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612041477958823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0356913780854635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0877637834117724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0641941347198112,NA,0.305013584872407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALM.PLM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319008333152627,NA,NA,NA,NA,0.535203004456148,0.271254689398086,NA,NA,NA,0.0949755729606202,NA,0.24780543810625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193851642395745,NA,NA,NA,NA,NA
