"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",NA,NA,NA,NA,NA,0.326211781246947,NA,NA,NA,NA,NA,0.1358092530102,NA,0.103569804261717,NA,0.440869316737837,0.351676635091355,0.789338096936582,0.123320802540458,0.64573609006701,0.222260412974084,0.319001420181391,NA,NA,NA,NA,0.180473283301313,NA,NA,0.0333427724132926,0.15587017122014,NA,NA,0.126644563774073,NA,0.313568035086954,0.200181802181225,NA,0.43520705070947,NA,0.436945060734204,0.302072958240147,0.317251280339786,NA,0.711796677174205,0.711858822013449,0.434855240463014,NA,1.88989606983568,1.090403257905,NA,0.917563928569626,0.931513349620791,NA,NA,1.07502957621639,NA,0.220679249543556,NA,1.28645281404359,NA,0.641196759080996,NA
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123166665559142,NA,NA,NA,NA,NA,0.110415254181178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",0.172126145074459,0.043399739380872,0.407107923528106,0.998148095222574,NA,0.724985022600129,NA,0.218933277858228,1.21674642713116,0.749713356654546,0.361161775171942,0.219549264796834,NA,0.354077519149133,0.227285418320259,2.01653412200063,0.28524414606677,0.501490557887512,NA,0.417396876127452,0.00554221421887526,NA,NA,NA,0.569505035537099,NA,1.48367599548434,NA,NA,0.18324650116854,0.0129167229058769,NA,NA,NA,0.814036050652901,NA,0.00965134702779125,NA,0.273449020048973,NA,0.136822462754242,NA,0.216992599102492,0.665042852957956,0.127256227018673,NA,NA,NA,0.187204284746751,0.639256265304007,NA,NA,NA,2.29696397044133,NA,NA,NA,NA,NA,NA,NA,0.169830759318235,NA
"AFD.PHA.PHB",NA,1.52350578431603,1.8022651291377,1.20651627894252,1.18234537232578,0.22977142399889,0.782806271432986,0.814354092945885,NA,1.15661903749645,1.80122654993578,0.401669903829041,NA,0.677419545963572,0.176802069172814,0.354319079780184,0.229957456627899,0.25932270292531,0.16506756858562,0.206411771174604,NA,NA,NA,NA,0.758737419252894,NA,0.60310891685488,NA,NA,0.428363360697922,0.00929067776893929,NA,NA,NA,1.03143537124481,NA,NA,NA,NA,NA,NA,NA,0.374819643146259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838880374226472,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.342788934734887,NA,NA,NA,NA,NA,0.302952234640387,NA,NA,NA,NA,0.381142299349385,0.815961986526754,0.538430318789494,0.694213606565709,0.277037758843266,0.395521965453571,NA,NA,0.418376139828343,NA,NA,NA,NA,0.325309821058681,0.588851506673453,NA,0.321387883219554,1.32808497358465,NA,0.880901913604697,0.502919730314413,NA,0.430952294972143,NA,0.229172639919247,1.163584761324,0.742646770084207,NA,0.29321801617787,0.926370789065996,0.775047004500789,NA,1.24825410018324,0.512638925781908,NA,0.652061957170472,1.35865499098319,NA,NA,1.18560014464968,NA,0.648956257989149,NA,1.22460942939914,0.475614644317286,0.835700129283301,NA
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599582381647266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0384614648616758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0538034621158208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0457202857969046,NA,0.315735287406265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
