"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",NA,NA,NA,0.0492726762856911,NA,0.32654001344304,NA,NA,0.437504108661165,NA,NA,0.130605527800561,NA,0.157180932993678,NA,0.596821738695143,0.348575669527896,0.612416094266558,0.233219987004015,0.457830864664713,0.18557213331825,0.242941617041584,NA,NA,0.0549220667012441,NA,0.284037720399583,NA,NA,0.0685189407719844,0.18245731127046,NA,NA,0.219758629541301,NA,0.357084436901358,0.186561987967126,NA,0.394225599233656,NA,0.376766797545845,0.257887117203624,0.344250603998718,NA,0.497198066552849,0.550352810280037,0.353236291721065,0.921931907271225,1.49326453383759,0.870253286603585,NA,NA,0.793765298726983,0.14164898909943,NA,0.760023457115332,NA,0.235456913602097,NA,0.952630303963004,NA,0.666619333402501,0.334894429255236
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0576274406791967,NA,NA,NA,NA,0.00449414961035705,NA,NA,NA,NA,NA,0.0403506467205885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0351447923321741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,0.118303686494803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00681053840381915,NA,NA,NA,NA,0.111413609038373,NA,NA,NA,NA,NA,0.165067611340343,NA,NA,NA,NA,NA,0.00261888521252159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",0.724224135759103,0.389856048302625,0.51321073866258,1.00355087089239,0.510112611334987,0.54046434639575,0.103110023914559,0.544563477598608,1.17289693482962,0.771820548736446,0.698758050250565,0.246421760401432,NA,0.376370334987542,0.209558758804871,1.52676245273475,0.319097795573359,0.447709643786104,NA,0.333296618493543,0.039964814844215,0.0510068341366116,NA,NA,0.463388465787573,NA,1.0696091912188,NA,NA,0.241617096589794,0.089678590212297,NA,NA,NA,0.783531082286478,NA,0.077436689079385,NA,0.212660853234326,NA,0.109037396269571,NA,0.294711807619984,0.470174273986571,0.150807481655309,NA,NA,NA,0.372217208930335,0.563935233938168,0.0332229572725283,NA,0.0385353436902847,1.27234673759883,NA,NA,NA,0.0465390213377717,NA,NA,NA,0.326519293823237,NA
"AFD.PHA.PHB",NA,1.19712185863065,1.37799281799724,1.04217695488512,1.08678346463345,0.287891429396303,0.558521651707311,0.827104804769433,NA,0.938894837007833,1.45347082735207,0.330229001700082,NA,0.573790391975182,0.23249831170451,0.456633184322113,0.204881687549566,0.26683985482791,0.260309783957523,0.16484618849192,NA,NA,NA,NA,0.594958660582519,NA,0.649529981563028,NA,NA,0.347091234513757,0.0384026601001417,NA,NA,0.0307885754161325,0.883590481186717,NA,NA,NA,0.036671548669218,NA,NA,NA,0.311884877595641,0.140974366840756,0.00429331656537268,NA,NA,NA,NA,NA,0.00780932529722942,NA,NA,0.214176401946709,NA,NA,NA,0.00467876573713043,NA,NA,NA,0.679822955636303,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.383391972591322,0.0314479417149907,0.0842087107286539,3.25431817643507e-06,NA,NA,0.260590227614319,NA,NA,NA,NA,0.359227089225376,0.676010972695873,0.420012114460824,0.476396244437643,0.210043075979417,0.300114061003843,NA,NA,0.37902275561413,NA,NA,NA,NA,0.281472512238494,0.427421555385492,NA,0.405103877474242,0.936187226769895,NA,0.625514496779246,0.419172757821853,NA,0.527503050038849,NA,0.367761949625475,0.691067454325898,0.558366822846714,NA,0.335462084950658,0.698006547755911,0.580522644248788,1.14834614030933,1.04517962534013,0.526699925976715,NA,NA,1.05745517487486,NA,NA,0.80598584819726,NA,0.490567255538433,NA,0.913268839083036,NA,0.698785584309566,0.449288305033691
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00172065286841875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100889002828361,NA,NA,0.608427495778396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0182705925006508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,0.0307293143278973,NA,NA,0.0513110202153543,NA,NA,NA,NA,NA,0.0649835486364472,0.208540936321948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0615575797278799,NA,NA,NA,NA,NA,NA,NA,NA,0.098135238562327,NA,0.258837897175753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0359814790779612,NA
